PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37174141","Virtual Reality for Addressing Depression and Anxiety: A Bibliometric Analysis","Jingili N, Oyelere SS, Ojwang F, Agbo FJ, Nyström MBT.","Int J Environ Res Public Health. 2023 Apr 24;20(9):5621. doi: 10.3390/ijerph20095621.","Jingili N","Int J Environ Res Public Health","2023","2023/05/13","PMC10178384","","10.3390/ijerph20095621"
"36943909","Digital Interventions for Treating Post-COVID or Long-COVID Symptoms: Scoping Review","Rinn R, Gao L, Schoeneich S, Dahmen A, Anand Kumar V, Becker P, Lippke S.","J Med Internet Res. 2023 Apr 17;25:e45711. doi: 10.2196/45711.","Rinn R","J Med Internet Res","2023","2023/03/21","PMC10131666","","10.2196/45711"
"35126228","Interventions for Perinatal Depression and Anxiety in Fathers: A Mini-Review","Rodrigues AL, Ericksen J, Watson B, Gemmill AW, Milgrom J.","Front Psychol. 2022 Jan 20;12:744921. doi: 10.3389/fpsyg.2021.744921. eCollection 2021.","Rodrigues AL","Front Psychol","2022","2022/02/07","PMC8810528","","10.3389/fpsyg.2021.744921"
"36102765","Digital interventions for depression and anxiety in older adults: a systematic review of randomised controlled trials","Riadi I, Kervin L, Dhillon S, Teo K, Churchill R, Card KG, Sixsmith A, Moreno S, Fortuna KL, Torous J, Cosco TD.","Lancet Healthy Longev. 2022 Aug;3(8):e558-e571. doi: 10.1016/S2666-7568(22)00121-0.","Riadi I","Lancet Healthy Longev","2022","2022/09/14","","","10.1016/S2666-7568(22)00121-0"
"36457901","Effect of virtual group EcoMeditation on psychological conditions and flow states","Church D, Stapleton P, Gosatti D, O'Keefe T.","Front Psychol. 2022 Nov 15;13:907846. doi: 10.3389/fpsyg.2022.907846. eCollection 2022.","Church D","Front Psychol","2022","2022/12/02","PMC9706195","","10.3389/fpsyg.2022.907846"
"37151974","Online group music therapy: proactive management of undergraduate students' stress and anxiety","Finnerty R, McWeeny S, Trainor L.","Front Psychiatry. 2023 Apr 21;14:1183311. doi: 10.3389/fpsyt.2023.1183311. eCollection 2023.","Finnerty R","Front Psychiatry","2023","2023/05/08","PMC10160410","","10.3389/fpsyt.2023.1183311"
"32742894","Treatment Interventions for Women With Alcohol Use Disorder","McCrady BS, Epstein EE, Fokas KF.","Alcohol Res. 2020 Jul 30;40(2):08. doi: 10.35946/arcr.v40.2.08. eCollection 2020.","McCrady BS","Alcohol Res","2020","2020/08/04","PMC7384374","","10.35946/arcr.v40.2.08"
"32570476","Virtual Reality Therapy for Social Phobia: A Scoping Review","Salehi E, Mehrabi M, Fatehi F, Salehi A.","Stud Health Technol Inform. 2020 Jun 16;270:713-717. doi: 10.3233/SHTI200253.","Salehi E","Stud Health Technol Inform","2020","2020/06/24","","","10.3233/SHTI200253"
"34904742","In-person versus virtual therapy in outpatient eating-disorder treatment: A COVID-19 inspired study","Steiger H, Booij L, Crescenzi O, Oliverio S, Singer I, Thaler L, St-Hilaire A, Israel M.","Int J Eat Disord. 2022 Jan;55(1):145-150. doi: 10.1002/eat.23655. Epub 2021 Dec 14.","Steiger H","Int J Eat Disord","2022","2021/12/14","","","10.1002/eat.23655"
"33650985","Digital Interventions to Support Population Mental Health in Canada During the COVID-19 Pandemic: Rapid Review","Strudwick G, Sockalingam S, Kassam I, Sequeira L, Bonato S, Youssef A, Mehta R, Green N, Agic B, Soklaridis S, Impey D, Wiljer D, Crawford A.","JMIR Ment Health. 2021 Mar 2;8(3):e26550. doi: 10.2196/26550.","Strudwick G","JMIR Ment Health","2021","2021/03/02","PMC7927953","","10.2196/26550"
"36707274","Effect of virtual reality and music therapy on anxiety and perioperative pain in surgical extraction of impacted third molars","Sorribes De Ramón LA, Ferrández Martínez AF, García Carricondo AR, Espín Gálvez F, Alarcón Rodríguez R.","J Am Dent Assoc. 2023 Mar;154(3):206-214. doi: 10.1016/j.adaj.2022.11.008. Epub 2023 Jan 25.","Sorribes De Ramón LA","J Am Dent Assoc","2023","2023/01/27","","","10.1016/j.adaj.2022.11.008"
"36189405","The effect of virtual reality therapy and counseling on students' public speaking anxiety","Sarpourian F, Samad-Soltani T, Moulaei K, Bahaadinbeigy K.","Health Sci Rep. 2022 Sep 20;5(5):e816. doi: 10.1002/hsr2.816. eCollection 2022 Sep.","Sarpourian F","Health Sci Rep","2022","2022/10/03","PMC9489082","","10.1002/hsr2.816"
"37907376","Self-Care Mental Health App Intervention for Post-Intensive Care Syndrome-Family: A Randomized Pilot Study","Petrinec AB, Wilk C, Hughes JW, Zullo MD, George RL.","Am J Crit Care. 2023 Nov 1;32(6):440-448. doi: 10.4037/ajcc2023800.","Petrinec AB","Am J Crit Care","2023","2023/10/31","","","10.4037/ajcc2023800"
"30404770","Implementations of Virtual Reality for Anxiety-Related Disorders: Systematic Review","Oing T, Prescott J.","JMIR Serious Games. 2018 Nov 7;6(4):e10965. doi: 10.2196/10965.","Oing T","JMIR Serious Games","2018","2018/11/09","PMC6249506","","10.2196/10965"
"23664503","Behavioral intervention technologies: evidence review and recommendations for future research in mental health","Mohr DC, Burns MN, Schueller SM, Clarke G, Klinkman M.","Gen Hosp Psychiatry. 2013 Jul-Aug;35(4):332-8. doi: 10.1016/j.genhosppsych.2013.03.008. Epub 2013 May 8.","Mohr DC","Gen Hosp Psychiatry","2013","2013/05/14","PMC3719158","NIHMS478388","10.1016/j.genhosppsych.2013.03.008"
"34938209","Digital Interventions for Generalized Anxiety Disorder (GAD): Systematic Review and Network Meta-Analysis","Saramago P, Gega L, Marshall D, Nikolaidis GF, Jankovic D, Melton H, Dawson S, Churchill R, Bojke L.","Front Psychiatry. 2021 Dec 6;12:726222. doi: 10.3389/fpsyt.2021.726222. eCollection 2021.","Saramago P","Front Psychiatry","2021","2021/12/23","PMC8685377","","10.3389/fpsyt.2021.726222"
"36505013","COVID-19 loss of taste and smell: potential psychological repercussions","Javed N, Ijaz Z, Khair AH, Dar AA, Lopez ED, Abbas R, Sheikh AB.","Pan Afr Med J. 2022 Sep 21;43:38. doi: 10.11604/pamj.2022.43.38.31329. eCollection 2022.","Javed N","Pan Afr Med J","2022","2022/12/12","PMC9716963","","10.11604/pamj.2022.43.38.31329"
"37886028","Telemedicine-Based Digital Cognitive Behavioral Intervention for Perioperative Anxiety and Depression for Total Knee Arthroplasty","Kaynar AM, Zharichenko N, Wasan AD, Chelly JE.","J Pain Relief. 2023;12(9):1000005. Epub 2023 Sep 27.","Kaynar AM","J Pain Relief","2023","2023/10/27","PMC10601399","NIHMS1938102",""
"38107986","Co-design of digital health interventions with young people: A scoping review","Malloy J, Partridge SR, Kemper JA, Braakhuis A, Roy R.","Digit Health. 2023 Dec 11;9:20552076231219117. doi: 10.1177/20552076231219117. eCollection 2023 Jan-Dec.","Malloy J","Digit Health","2023","2023/12/18","PMC10722957","","10.1177/20552076231219117"
"32186839","An app-, web- and social support-based weight loss intervention for adults with obesity: the HelpMeDoIt! feasibility RCT","Simpson SA, Matthews L, Pugmire J, McConnachie A, McIntosh E, Coulman E, Hughes K, Kelson M, Morgan-Trimmer S, Murphy S, Utkina-Macaskill O, Moore L.","Southampton (UK): NIHR Journals Library; 2020 Mar.","Simpson SA","An app-, web- and social support-based weight loss intervention for adults with obesity: the HelpMeDoIt! feasibility RCT","2020","2020/03/01","","","10.3310/phr08030"
"29357940","Children's experiences and responses towards an intervention for psychological preparation for radiotherapy","Engvall G, Lindh V, Mullaney T, Nyholm T, Lindh J, Ångström-Brännström C.","Radiat Oncol. 2018 Jan 22;13(1):9. doi: 10.1186/s13014-017-0942-5.","Engvall G","Radiat Oncol","2018","2018/01/24","PMC5778737","","10.1186/s13014-017-0942-5"
"37821898","Third-wave cognitive behavioral therapies for caregivers of cancer patients: a scoping review","Hong B, Yang S, Hyeon S, Kim S, Lee J.","BMC Complement Med Ther. 2023 Oct 11;23(1):360. doi: 10.1186/s12906-023-04186-3.","Hong B","BMC Complement Med Ther","2023","2023/10/11","PMC10566119","","10.1186/s12906-023-04186-3"
"36282605","Telemedicine for outpatient treatment of depressive disorders","Juckel G, Neumann E, Jäger A, Welz M, Heinrich J, Pehnke K, Haussleiter IS, Emons B.","Ann Clin Psychiatry. 2022 Nov;34(4):15-22. doi: 10.12788/acp.0091.","Juckel G","Ann Clin Psychiatry","2022","2022/10/25","","","10.12788/acp.0091"
"25294857","Positive group psychotherapy modified for adults with intellectual disabilities","Tomasulo DJ.","J Intellect Disabil. 2014 Dec;18(4):337-50. doi: 10.1177/1744629514552153. Epub 2014 Oct 6.","Tomasulo DJ","J Intellect Disabil","2014","2014/10/09","","","10.1177/1744629514552153"
"36322113","Brief App-Based Cognitive Behavioral Therapy for Anxiety Symptoms in Psychiatric Inpatients: Feasibility Randomized Controlled Trial","Sharma G, Schlosser L, Jones BDM, Blumberger DM, Gratzer D, Husain MO, Mulsant BH, Rappaport L, Stergiopoulos V, Husain MI.","JMIR Form Res. 2022 Nov 2;6(11):e38460. doi: 10.2196/38460.","Sharma G","JMIR Form Res","2022","2022/11/02","PMC9669882","","10.2196/38460"
"36189185","The Impact of a Mindfulness App on Postnatal Distress","Bear KA, Barber CC, Medvedev ON.","Mindfulness (N Y). 2022;13(11):2765-2776. doi: 10.1007/s12671-022-01992-7. Epub 2022 Sep 28.","Bear KA","Mindfulness (N Y)","2022","2022/10/03","PMC9516517","","10.1007/s12671-022-01992-7"
"34166000","Prospective evaluation of a clinical decision support system in psychological therapy","Lutz W, Deisenhofer AK, Rubel J, Bennemann B, Giesemann J, Poster K, Schwartz B.","J Consult Clin Psychol. 2022 Jan;90(1):90-106. doi: 10.1037/ccp0000642. Epub 2021 Jun 24.","Lutz W","J Consult Clin Psychol","2022","2021/06/24","","","10.1037/ccp0000642"
"36697345","Impact of Virtual Operating Room Tours on Relieving Perioperative Anxiety in Adult Patients: A Systematic Review","Yu Y, Zhou X, Zeng G, Hou Y.","J Perianesth Nurs. 2023 Aug;38(4):657-663.e7. doi: 10.1016/j.jopan.2022.11.013. Epub 2023 Jan 23.","Yu Y","J Perianesth Nurs","2023","2023/01/25","","","10.1016/j.jopan.2022.11.013"
"35460640","Virtual Peer Support in Women's Health for Pregnant People and Mothers With Substance Use Disorder","Newell SM, Stem J, Lanzillotta-Rangeley J.","Nurs Womens Health. 2022 Jun;26(3):226-233. doi: 10.1016/j.nwh.2022.03.001. Epub 2022 Apr 20.","Newell SM","Nurs Womens Health","2022","2022/04/23","","","10.1016/j.nwh.2022.03.001"
"37883144","Application of a Digital Mental Health Clinic in Secondary Schools: Functionality and Effectiveness Evaluation","Xu Y, Yang H, Jin Z, Xiang J, Xu H, Pokay YH, Mao H, Cai X, Wu Y, Wang DB.","JMIR Form Res. 2023 Oct 26;7:e46494. doi: 10.2196/46494.","Xu Y","JMIR Form Res","2023","2023/10/26","PMC10636614","","10.2196/46494"
"32479041","Psychological interventions for the treatment of depression: Depression in children and young people, 2019 evidence review: Evidence review A","","London: National Institute for Health and Care Excellence (NICE); 2019 Jun.","","Psychological interventions for the treatment of depression: Depression in children and young people, 2019 evidence review: Evidence review A","2019","2019/06/01","","",""
"38097467","Effects of Virtual Reality on Pain, Anxiety, Patient Satisfaction in Coronary Angiography: A Randomized Trial","Turan GB, Gür F, Özer Z, Tarkan Ç.","Pain Manag Nurs. 2023 Dec 13:S1524-9042(23)00224-2. doi: 10.1016/j.pmn.2023.11.009. Online ahead of print.","Turan GB","Pain Manag Nurs","2023","2023/12/14","","","10.1016/j.pmn.2023.11.009"
"36120713","Personalized digital intervention for depression based on social rhythm principles adds significantly to outpatient treatment","Frank E, Wallace ML, Matthews MJ, Kendrick J, Leach J, Moore T, Aranovich G, Choudhury T, Shah NR, Framroze Z, Posey G, Burgess SA, Kupfer DJ.","Front Digit Health. 2022 Sep 2;4:870522. doi: 10.3389/fdgth.2022.870522. eCollection 2022.","Frank E","Front Digit Health","2022","2022/09/19","PMC9478192","","10.3389/fdgth.2022.870522"
"36877740","A multicomponent digital intervention to promote help-seeking for mental health problems and suicide in sexual and gender diverse young adults: A randomized controlled trial","Han M, Wang Y, Zhang Y, Wang Y, Ou J, Ren D, Cai C, Liu K, Li R, Han J, Chen R.","PLoS Med. 2023 Mar 6;20(3):e1004197. doi: 10.1371/journal.pmed.1004197. eCollection 2023 Mar.","Han M","PLoS Med","2023","2023/03/06","PMC10027204","","10.1371/journal.pmed.1004197"
"37360811","Immersive virtual reality as support for the mental health of elderly women: a randomized controlled trial","Cieślik B, Juszko K, Kiper P, Szczepańska-Gieracha J.","Virtual Real. 2023 May 7:1-9. doi: 10.1007/s10055-023-00797-w. Online ahead of print.","Cieślik B","Virtual Real","2023","2023/06/26","PMC10164368","","10.1007/s10055-023-00797-w"
"38446587","Mindfulness-based Cognitive Group Therapy: Adaptation and Practical Recommendations for Virtual Delivery","Nieborowska V, Gorenko J, Shumlich E, Enman M.","Int J Group Psychother. 2022 Apr;72(2):173-186. doi: 10.1080/00207284.2022.2036157. Epub 2022 Apr 7.","Nieborowska V","Int J Group Psychother","2022","2024/03/06","","","10.1080/00207284.2022.2036157"
"28114091","[Virtual reality therapy in anxiety disorders]","Mitrousia V, Giotakos O.","Psychiatriki. 2016 Oct-Dec;27(4):276-286. doi: 10.22365/jpsych.2016.274.276.","Mitrousia V","Psychiatriki","2016","2017/01/24","","","10.22365/jpsych.2016.274.276"
"36260395","Effectiveness and Acceptance of Technology-Based Psychological Interventions for the Acute Treatment of Unipolar Depression: Systematic Review and Meta-analysis","Köhnen M, Kriston L, Härter M, Baumeister H, Liebherz S.","J Med Internet Res. 2021 Jun 13;23(6):e24584. doi: 10.2196/24584.","Köhnen M","J Med Internet Res","2021","2022/10/19","PMC8386371","","10.2196/24584"
"33577375","Immersive Virtual Reality Therapy as a Support for Cardiac Rehabilitation: A Pilot Randomized-Controlled Trial","Szczepańska-Gieracha J, Jóźwik S, Cieślik B, Mazurek J, Gajda R.","Cyberpsychol Behav Soc Netw. 2021 Aug;24(8):543-549. doi: 10.1089/cyber.2020.0297. Epub 2021 Feb 11.","Szczepańska-Gieracha J","Cyberpsychol Behav Soc Netw","2021","2021/02/12","PMC8377517","","10.1089/cyber.2020.0297"
"38150072","The effect of virtual reminiscence therapy on depression and anxiety in patients with gastric cancer undergoing chemotherapy","Babaei N, Zamanzadeh V, Pourabbasi M, Avazeh M, Shokoufamanesh A.","Support Care Cancer. 2023 Dec 27;32(1):64. doi: 10.1007/s00520-023-08268-3.","Babaei N","Support Care Cancer","2023","2023/12/27","","","10.1007/s00520-023-08268-3"
"30950795","A Digital Game and School-Based Intervention for Students in Hong Kong: Quasi-Experimental Design","Shum AK, Lai ES, Leung WG, Cheng MN, Wong HK, So SW, Law YW, Yip PS.","J Med Internet Res. 2019 Apr 5;21(4):e12003. doi: 10.2196/12003.","Shum AK","J Med Internet Res","2019","2019/04/06","PMC6473212","","10.2196/12003"
"27904638","Virtual reality and anxiety in primiparous women during episiotomy repair","Shourab NJ, Zagami SE, Golmakhani N, Mazlom SR, Nahvi A, Pabarja F, Talebi M, Rizi SM.","Iran J Nurs Midwifery Res. 2016 Sep-Oct;21(5):521-526. doi: 10.4103/1735-9066.193417.","Shourab NJ","Iran J Nurs Midwifery Res","2016","2016/12/02","PMC5114799","","10.4103/1735-9066.193417"
"37560011","Feasibility and impact of a mental health chatbot on postpartum mental health: a randomized controlled trial","Suharwardy S, Ramachandran M, Leonard SA, Gunaseelan A, Lyell DJ, Darcy A, Robinson A, Judy A.","AJOG Glob Rep. 2023 Mar 29;3(3):100165. doi: 10.1016/j.xagr.2023.100165. eCollection 2023 Aug.","Suharwardy S","AJOG Glob Rep","2023","2023/08/10","PMC10407813","","10.1016/j.xagr.2023.100165"
"37578482","Efficacy and associated neurotransmitters of digital cognitive behavior therapy for atopic dermatitis: A comparative effectiveness research","Zhai W, Tang R, Gao Y, Su H, Mao H, Liu W, Ao S, Han J, Wang F.","Asian Pac J Allergy Immunol. 2023 Aug 14. doi: 10.12932/AP-100223-1542. Online ahead of print.","Zhai W","Asian Pac J Allergy Immunol","2023","2023/08/14","","","10.12932/AP-100223-1542"
"37549004","The Impact of a Mobile Support Group on Distress and Physical Activity in Breast Cancer Survivors: Randomized, Parallel-Group, Open-Label, Controlled Trial","Jung M, Lee SB, Lee JW, Park YR, Chung H, Min YH, Park HJ, Lee M, Chung S, Son BH, Ahn SH, Chung IY.","J Med Internet Res. 2023 Aug 7;25:e47158. doi: 10.2196/47158.","Jung M","J Med Internet Res","2023","2023/08/07","PMC10442738","","10.2196/47158"
"38226714","Digital cognitive behavioural therapy for patients with insomnia and depression: A systematic review and meta-analysis","Bai N, Cao J, Zhang H, Liu X, Yin M.","J Psychiatr Ment Health Nurs. 2024 Jan 16. doi: 10.1111/jpm.13024. Online ahead of print.","Bai N","J Psychiatr Ment Health Nurs","2024","2024/01/16","","","10.1111/jpm.13024"
"32680441","A Digital Lifestyle Program in Outpatient Treatment of Type 2 Diabetes: A Randomized Controlled Study","Hilmarsdóttir E, Sigurðardóttir ÁK, Arnardóttir RH.","J Diabetes Sci Technol. 2021 Sep;15(5):1134-1141. doi: 10.1177/1932296820942286. Epub 2020 Jul 17.","Hilmarsdóttir E","J Diabetes Sci Technol","2021","2020/07/19","PMC8442170","","10.1177/1932296820942286"
"37503192","Therapist perspectives on telehealth-based virtual reality exposure therapy","Ong T, Wilczewski H, Soni H, Ivanova J, Barrera J, Cummins M, Welch B, Bunnell B.","Res Sq [Preprint]. 2023 Jul 17:rs.3.rs-3161151. doi: 10.21203/rs.3.rs-3161151/v1.","Ong T","Res Sq","2023","2023/07/28","PMC10371164","","10.21203/rs.3.rs-3161151/v1"
"34703243","Multidisciplinary Effort and Integrative Preparedness: A Lesson for the Foreseen Multivariate COVID-19 Pandemic Flare-Up","Yayehrad AT, Siraj EA, Yimenu DK, Ambaye AS, Derseh MT, Tamene AA, Yayeh TG.","J Multidiscip Healthc. 2021 Oct 14;14:2905-2921. doi: 10.2147/JMDH.S332049. eCollection 2021.","Yayehrad AT","J Multidiscip Healthc","2021","2021/10/27","PMC8524181","","10.2147/JMDH.S332049"
"36383408","Automated Digital Interventions and Smoking Cessation: Systematic Review and Meta-analysis Relating Efficiency to a Psychological Theory of Intervention Perspective","Sha L, Yang X, Deng R, Wang W, Tao Y, Cao H, Ma Q, Wang H, Nie Y, Leng S, Lv Q, Li X, Wang H, Meng Y, Xu J, Greenshaw AJ, Li T, Guo WJ.","J Med Internet Res. 2022 Nov 16;24(11):e38206. doi: 10.2196/38206.","Sha L","J Med Internet Res","2022","2022/11/16","PMC9713619","","10.2196/38206"
"33480852","A Mobile App-Based Intervention Program for Nonprofessional Caregivers to Promote Positive Mental Health: Randomized Controlled Trial","Ferré-Grau C, Raigal-Aran L, Lorca-Cabrera J, Lluch-Canut T, Ferré-Bergadà M, Lleixá-Fortuño M, Puig-Llobet M, Miguel-Ruiz MD, Albacar-Riobóo N.","JMIR Mhealth Uhealth. 2021 Jan 22;9(1):e21708. doi: 10.2196/21708.","Ferré-Grau C","JMIR Mhealth Uhealth","2021","2021/01/22","PMC7864775","","10.2196/21708"
"33732626","Efficacy of digital health interventions in youth with chronic medical conditions: A meta-analysis","Domhardt M, Schröder A, Geirhos A, Steubl L, Baumeister H.","Internet Interv. 2021 Feb 25;24:100373. doi: 10.1016/j.invent.2021.100373. eCollection 2021 Apr.","Domhardt M","Internet Interv","2021","2021/03/18","PMC7941178","","10.1016/j.invent.2021.100373"
"36734021","Feasibility of virtual reality-delivered pain psychology therapy for cancer-related neuropathic pain: a pilot randomised controlled trial","Chuan A, Hatty M, Shelley M, Lan A, Chow H, Dai E, Haider S, Bogdanovych A, Chua W.","Anaesthesia. 2023 Apr;78(4):449-457. doi: 10.1111/anae.15971. Epub 2023 Feb 2.","Chuan A","Anaesthesia","2023","2023/02/03","","","10.1111/anae.15971"
"34939839","Telemental Health Collaborative Care Medication Management: Implementation and Outcomes","Das S, Wang J, Chen SY, Chen CE.","Telemed J E Health. 2022 Jul;28(7):1035-1043. doi: 10.1089/tmj.2021.0401. Epub 2021 Dec 22.","Das S","Telemed J E Health","2022","2021/12/23","PMC9293679","","10.1089/tmj.2021.0401"
"36445734","A Digital Health Intervention for Stress and Anxiety Relief in Perioperative Care: Protocol for a Feasibility Randomized Controlled Trial","Kondylakis H, Chicchi Giglioli IA, Katehakis DG, Aldemir H, Zikas P, Papagiannakis G, Hors-Fraile S, González-Sanz PL, Apostolakis KC, Stephanidis C, Núñez-Benjumea FJ, Baños-Rivera RM, Fernandez-Luque L, Kouroubali A.","JMIR Res Protoc. 2022 Nov 29;11(11):e38536. doi: 10.2196/38536.","Kondylakis H","JMIR Res Protoc","2022","2022/11/29","PMC9748793","","10.2196/38536"
"37628408","Using Virtual Reality to Reduce Anxiety and Improve Hospital Experience in Paediatric Orthopaedic Patients and Their Parents","Oh N, Parrish N, Lee IW, Temple S, Perkins O, Kokkinakis M.","Children (Basel). 2023 Aug 18;10(8):1409. doi: 10.3390/children10081409.","Oh N","Children (Basel)","2023","2023/08/26","PMC10453231","","10.3390/children10081409"
"35530032","Researchers' Perspectives on Digital Mental Health Intervention Co-Design With Marginalized Community Stakeholder Youth and Families","Porche MV, Folk JB, Tolou-Shams M, Fortuna LR.","Front Psychiatry. 2022 Apr 22;13:867460. doi: 10.3389/fpsyt.2022.867460. eCollection 2022.","Porche MV","Front Psychiatry","2022","2022/05/09","PMC9072625","","10.3389/fpsyt.2022.867460"
"34300185","Behaviour and Anxiety Management of Paediatric Dental Patients through Virtual Reality: A Randomised Clinical Trial","Gómez-Polo C, Vilches AA, Ribas D, Castaño-Séiquer A, Montero J.","J Clin Med. 2021 Jul 7;10(14):3019. doi: 10.3390/jcm10143019.","Gómez-Polo C","J Clin Med","2021","2021/07/24","PMC8304330","","10.3390/jcm10143019"
