Title,SelectionPhase1,Authors,Journal,Year,Abstract,DOI,source,Research Areas,Author Keywords,DOIURL
"Effect of Different Gas-Stunning Conditions on Heme Pigment Solutions and on the Color of Blood, Meat, and Small Intestine of Rabbits",Not mental health,"Alam, MS; Song, DH; Lee, JA; Hoa, VB; Kim, HW; Kang, SM; Cho, SH; Hwang, I; Seol, KH",ANIMALS,2022,"Simple Summary Ensuring animal welfare and customer satisfaction are crucial concerns in the modern slaughterhouse. Addressing animal welfare includes avoiding or minimizing pre-slaughter stress as well as anxiety, pain, distress, and suffering at the time of slaughter. In general, different methods of gas stunning are used, but the conventional carbon dioxide (CO2) gas-stunning method can result in severe aversion, elevated respiratory distress, irritation of the nasal mucous membranes, hypercapnia, and lactic acidosis. To reduce these problems, sometimes inert gases (argon or nitrogen) are mixed with CO2 in different proportions. In stunning, it is a vital point that after the onset of unconsciousness, the animal never recovers consciousness. On the other hand, consumers prefer bright red-colored fresh meat. This demands consideration during the stunning and slaughtering of animals. However, different high-concentration levels of inert gases and their effects on stunning are still unknown. To support this, a trial was conducted on heme-pigment solutions (hemoglobin and myoglobin solution) in different high-concentration (80%, 85%, and 90%) levels of CO2, Ar, and N-2 gas. In both cases, dark red-colored (high redness and low lightness, yellowness) solutions were found in CO2-exposed conditions, and bright red was found with N-2 (high lightness, yellowness, and low redness). The effect of Ar was intermediate between CO2- and N-2-treated groups. These results and concepts were applied to a rabbit-stunning method. It was proven that the rabbit started the onset of unconsciousness at a 96% concentration of N-2 gas; thus, 96% N-2 and 98% N-2 were considered in the nitrogen-treated group. In addition, from every treatment group, 80% concentration levels were omitted. As per the results, dark red-colored blood, meat, and small intestine (high redness and low lightness, yellowness) were seen in CO2- and Ar-stunned rabbits, and a bright red color was found in N-2-stunned rabbits (high lightness, yellowness, and low redness). However, consumers prefer to purchase bright red-colored fresh meat, so N-2 stunning can help to satisfy their desire. Out of the two treatments, with N-2, in view of the time required for stunning and color attributes, 98% N-2 is better for rabbits. Therefore, 98% N-2 can be considered a better option for gas stunning. The objectives of this study were to elucidate the effect of different high-concentration levels of inert gases (Ar and N-2) on heme-pigment solutions and on the color of the blood, meat, and small intestine of rabbits; and to figure out the proper concentration level of inert gas (Ar or N-2) for the complete stunning of the rabbit. To observe the changing of color attributes, a research study was conducted in the abattoir of the National Institute of Animal Science (NIAS), RDA, Republic of Korea. This experiment had 2 parts, (i) A trial on heme-pigment solutions (hemoglobin and myoglobin solution) was conducted in a gas chamber with different high-concentration levels of carbon dioxide, argon, nitrogen, and normal air; and (ii) a rabbit experiment was conducted-stunning with different high-concentration levels of carbon dioxide, argon, nitrogen, and the Halal method (non-stunning). A small-size digital gas chamber was used for this experiment (size: width 850 mm x depth 1350 mm). Artificial hemoglobin (Hb) and myoglobin (Mb) solutions were created from porcine hemoglobin lyophilized powder and equine skeletal muscle myoglobin lyophilized powder, respectively. In the heme-pigment solutions trial, 10 treatments were used: (i) 80% carbon dioxide (T1), (ii) 85% carbon dioxide (T2), (iii) 90% carbon dioxide (T3), (iv) 80% argon (T4), (v) 85% argon (T5), (vi) 90% argon (T6), (vii) 80% nitogen (T7), (viii) 85% nitogen (T8), (ix) 90% nitogen (T9), and (x) normal air (T10). Heme-pigment solutions (both Hb and Mb) were exposed with each treatment for four separate durations of time (30 s, 1 min, 2 min, and 4 min); and every sample (Hb and Mb) was exposed during each duration of time for 10 times (n = 10). In the rabbit experiment, seven treatments were used (i) 85% carbon dioxide (T1), (ii) 90% carbon dioxide (T2), (iii) 85% argon (T3), (iv) 90% argon (T4), (v) 96% nitrogen (T5), (vi) 98% nitogen (T6), and (vii) the Halal method (non-stunning) (T7). Forty-two rabbits (mixed-breed) were collected from the nearest commercial farm and randomly selected for a treatment group (n = 6). The average body weight was 2.3 kg. For stunning, each individual rabbit was separately kept in a gas chamber, after which each specific gas was used to fulfill the desired level in the pit. After reaching the desired level of concentration, rabbits were stunned within a very short time. It was observed that the time required for stunning in the T1, T2, T3, T4, T5 and T6 treatment was 79-82, 68-73, 97-103, 88-91, 164-173, and 108-115 s, respectively. In the case of the Halal method (non-stunning), as per the rules of Islam, rabbits were slaughtered without stunning. After slaughtering, in all treatments, the blood, meat, and small intestine of each animal were collected carefully and kept in a cool room in which the temperature was -2 degrees C, and after 24 h, the color attributes-lightness (L*), redness (a*), and yellowness (b*)-were measured via a Chroma Meter. It was found that in both experiments (trial on heme-pigment solutions and rabbit stunning), the color values (L*, a* and b*) showed a significant difference (p < 0.05) among the treatment groups. The CO2-treated groups showed high redness (a*) and low lightness (L*) and yellowness (b*), which indicated a dark-red color, and N-2-treated groups showed high lightness (L*) and yellowness (b*) and low redness (a*), which implied a bright-red color. The effect of the Ar was in between the CO2- and N-2-treated groups. These phenomena were observed both in the heme-pigment solutions (Hb and Mb) and in the blood, meat, and small intestine of the rabbits. N-2-stunned animals fulfill the fundamental desire of consumers to purchase bright red-colored fresh meat. Therefore, in view of color attributes, consumer satisfaction, and animal welfare, N-2 gas can be thought of as a valuable alternative to stunning. Considering the time required for complete stunning and desirable color attributes, a 98% concentration of N-2 is best for rabbit stunning. As such, it could be used as a better option for the gas stunning of animals.",10.3390/ani12223155,wos,Agriculture; Veterinary Sciences; Zoology,rabbit; inert gases; heme-pigment solutions; carbon-dioxide stunning; halal method,URI::(https://www.doi.org/10.3390/ani12223155)
Effect of Digital Health Interventions on Psychotic Symptoms among Persons with Severe Mental Illness in Community: A Systematic Review and Meta-Analysis br,Not Multi User,"Oh, E; Gang, MH",JOURNAL OF KOREAN ACADEMY OF NURSING,2023,"Purpose: This study aimed to evaluate the effects of digital health interventions on the psychotic symptoms among people with severe mental illness in the community. Methods: A systematic review and meta-analysis were conducted in accordance with the Cochrane Inter-vention Research Systematic Review Manual and PRISMA. A literature search was conducted of published randomized controlled trials (RCTs) for digital health interventions from January 2022 to April 2022. RevMan software 5.3 was used for quality assessment and me-ta-analysis. Results: A total 14 studies out of 9,864 studies were included in the review, and 13 were included in meta-analysis. The overall effect size of digital health interventions on psychotic symptoms was - 0.21 (95% CI = - 0.32 to - 0.10). Sub-analysis showed that the re-duction of the psychotic symptoms was effective in the schizophrenia spectrum group (SMD = - 0.22; 95% CI = - 0.36 to - 0.09), web (SMD = - 0.41; 95% CI = - 0.82 to 0.01), virtual reality (SMD = - 0.33; 95% CI = - 0.56 to - 0.10), mobile (SMD = - 0.15; 95% CI = - 0.28 to - 0.03), intervention period of less than 3 months (SMD = - 0.23; 95% CI = - 0.35 to - 0.11), and non-treatment group (SMD = - 0.23; 95% CI = - 0.36 to - 0.11). Conclusion: These findings suggest that digital health interventions alleviate psychotic symptoms in patients with severe mental illnesses. However, well-designed digital health studies should be conducted in the future.",10.4040/jkan.22121,"pubmed, wos",Nursing,Mental Disorders; Telemedicine; Meta-Analysis; Systematic Review,URI::(https://www.doi.org/10.4040/jkan.22121)
Effect of Digital Storytelling on Anxiety in Patients Who Are Candidates for Open-Heart Surgery,Not mental health,"Moghimian, M; Akbari, M; Moghaddasi, J; Niknajad, R",JOURNAL OF CARDIOVASCULAR NURSING,2019,"Background: Open-heart surgery in persons with cardiovascular disease is associated with high levels of anxiety. Objective: The goal of this study was to determine the effect of digital storytelling on anxiety in patients who were candidates for open-heart surgery. Methods: In this quasi-experimental study, 80 patients were randomly allocated into 2 groups. The intervention group received routine training and digital storytelling. In each group, anxiety was measured by the State-Trait Anxiety Inventory anxiety scale before surgery and 5 days after surgery. The collected data were analyzed using SPSS software V18. Results: There was no significant difference in the anxiety of both groups during the 2 days before the surgery (P=.40). After the surgery, the mean of anxiety scores in the intervention group was lower than that of the control group (P<.001). Conclusions: Digital storytelling is an effective method to reduce anxiety in patients who are candidates for open-heart surgery.",10.1097/JCN.0000000000000569,"pubmed, wos",Cardiovascular System & Cardiology; Nursing,education; digital storytelling; anxiety; open-heart surgery,URI::(https://www.doi.org/10.1097/JCN.0000000000000569)
Effect of Gaze Stability Exercises on Chronic Motion Sensitivity: A Randomized Controlled Trial,Not Multi User,"Gaikwad, SB; Johnson, EG; Nelson, TC; Ambode, OI; Albalwi, AA; Alharbi, AA; Daher, NS",JOURNAL OF NEUROLOGIC PHYSICAL THERAPY,2018,"Background and Purpose: Motion sensitivity is a common condition among the general population and may be accompanied by postural instability and anxiety. Preliminary studies suggest that minimal dosage of gaze stability exercises improves postural stability in young adults with chronic motion sensitivity. The aim of this study was to investigate the effect of progressive gaze stability exercises on postural stability, motion sensitivity, and anxiety in healthy young adults with chronic motion sensitivity. Methods: We conducted a single-blind randomized controlled trial to assess the effect of gaze stability exercises on chronic motion sensitivity. Forty-one participants of both genders ages 20 to 40 years with chronic motion sensitivity were randomly assigned to 2 groups. The intervention group performed gaze stability exercises while the sham group performed saccadic eye movement exercises for 6 weeks. Computerized Dynamic Posturography with Immersion Virtual Reality (CDP-IVR)condition 1 (C1) and condition 2 (C2)Motion Sensitivity Quotient (MSQ), Motion Sickness Sensitivity Susceptibility Questionnaire Short Form (MSSQ-Short: MSA, MSB), and State-Trait Anxiety Inventory for Adults (STAI Form Y-2) were the outcome measures used. Results: There was no significant group x time interaction for MSA, MSB, MSSQ percentile, STAI, MSQ, C1 mean, or C2 mean. However, posttreatment a significant difference in the mean CDP-IVR score of C2 was identified between the 2 groups. For C2, the intervention group demonstrated a 117% increase in the mean CDP-IVR score compared with a 35.2% increase in the sham group. MSQ reduced significantly from baseline to 6 weeks postintervention in the intervention group (4.0 1.2 vs 1.9 0.9). Anxiety was significantly reduced in the sham group only (38.2 +/- 1.9 vs 35.8 +/- 2.2). Discussion and Conclusions: Based on the results of this study, progressive gaze stability exercises appear to have value for managing chronic motion sensitivity in healthy young adults. Further research with larger sample size and broader age range is needed to generalize these findings. Video Abstract available for more insights from the authors (see Video, Supplemental Digital Content 1, available at: http://links.lww.com/JNPT/A203).",10.1097/NPT.0000000000000216,"pubmed, wos",Neurosciences & Neurology; Rehabilitation,gaze stability exercises; motion sensitivity; vestibular rehabilitation,URI::(https://www.doi.org/10.1097/NPT.0000000000000216)
Effect of Rational Digital Storytelling Intervention on Depression Among Adolescent-Athletes with Special Educational Needs,Good,"Ofoegbu, TO; Asogwa, UD; Eseadi, C; Ogbonna, CS; Eskay, M; Obiyo, NO; Nji, GC; Ngwoke, OR; Agboti, CI; Uwakwe, RC; Ogbuabor, SE",JOURNAL OF RATIONAL-EMOTIVE AND COGNITIVE-BEHAVIOR THERAPY,2021,"Depression is a major mental health issue among athletes. This study aimed to determine the effect of a rational digital storytelling intervention on depression among a sample of adolescent-athletes with special educational needs. Participants were sixty in-school adolescent-athletes with special educational needs (treatment group,n = 30, control group,n = 30) having moderate to severe depression. The treatment group participated in the rational digital storytelling intervention, over a twelve-week period whereas the control group was exposed to oral storytelling at precisely the same timeframe, with the meeting sessions holding 2 times weekly. The Beck Depression Inventory-II (BDI II) and The Child and Adolescent Scale of Irrationality (CASI) were used for gathering data at 3-time points. Results suggest that exposure to a rational digital storytelling intervention brought about more considerable reduction in mean depression score among the adolescent-athletes in the experimental group when compared with the adolescent-athletes in the control group (t(59) = - 21.312,p = .001, effect size = 5.50). Follow-up results revealed more sustenance of the significant reduction in mean depression score of the adolescent-athletes in the experimental group when compared with the adolescent-athletes in the control group (t(59) = - 16.441,p = .001, effect size = 4.24).",10.1007/s10942-020-00366-z,wos,Psychology,Depression; Rational digital storytelling intervention; Special needs students; Adolescent-athletes,URI::(https://www.doi.org/10.1007/s10942-020-00366-z)
"Effect of Sound Heart Model-based spiritual counseling on stress, anxiety and depression of parents of children with cancer",Not Digital,"Asadzandi, M; Farahany, SS; Abolghasemy, H; Saberi, M; Ebadi, A",IRANIAN JOURNAL OF PEDIATRIC HEMATOLOGY AND ONCOLOGY,2020,"Background: Pediatric cancer as a traumatic event needs pastoral counseling for family compatibility. The aim of this study was to investigate the effect of spiritual counseling using Sound Heart Model on stress, anxiety, and depression of parents of children with cancer. Materials and Methods: In this randomized, controlled, pre-and post-clinical trial, which was done in 2019, 72 parents of children with cancer from the armed forces family referred to the Baqiyatallah hospital and Children's Medical Center of Tehran were assigned into control and intervention groups by using block randomization method. Spiritual counseling was provided to the intervention group through virtual method by donating educational software included sixteen spiritual counseling sessions with emphasis on improving the relationships with God, self, people, and nature. Along with, training sessions were held once a week on the social network.For data collection, demographic questionnaire and Depression, Anxiety, Stress Scale (DASS 21) were completed before and immediately after the intervention by the participants. The T-pair test was used to compare each group before and after the intervention, the independent T-test was used to compare the two groups at each stage. Results: The results showed no significant difference in the mean scores of depression (p = 0.68), stress (p = 0.94), and anxiety (p = 0.66) between two groups before the intervention. However, there was a statistically significant difference in the mean scores of depression (P<0.001), stress (p = 0.003), and anxiety (p <0.001) between two groups after the intervention. Conclusion: Sound Heart Model-based spiritual counseling reduced the severity of depression and stress in parents and prevented the increase of anxiety in them.",NA,wos,Pediatrics,Anxiety; Counseling; Depression; Neoplasms,URI::(https://www.doi.org/NA)
"Effect of Virtual Reality Glasses Application on Pain, Anxiety, and Patient Satisfaction During a Transrectal Prostate Biopsy: A Randomized Controlled Trial",Not mental health,"Toraman, RL; Ilgin, VE",BIOLOGICAL RESEARCH FOR NURSING,2024,"Background This study aims to determine the effect of virtual reality glasses application on pain, anxiety, and patient satisfaction during a transrectal prostate biopsy. Materials and Methods The study was conducted with pre-tests, post-tests, and a control group, using a randomized controlled experimental research design. A total of 70 patients (35 in the intervention group and 35 in the control group) were included in the study. The intervention group watched a video with virtual reality glasses during the biopsy process. A Descriptive Information Form, State-Trait Anxiety Inventory (STAI-I, STAI-II), Scale of Patient Perception of Hospital Experience with Nursing Care (PPHEN), and Visual Analog Scale for Pain (VAS) were used for data collection. To evaluate the data, numbers, percentages, mean, standard deviation, chi-square, paired sample t test, independent samples t test, regression analysis, and Cronbach's alpha Reliability Coefficient were used. Results There was no significant difference between the groups in terms of descriptive and clinical characteristics (p > .05). The mean VAS and STAI post-test scores of the patients in the intervention group were lower than the control group, and the difference between them was statistically significant (p < .05). The mean PPHEN post-test scores of the patients in the intervention group were significantly higher than those in the control group (p < .05). Conclusion The application of virtual reality glasses during a transrectal prostate biopsy significantly reduced the level of pain and anxiety and increased patient satisfaction.",10.1177/10998004241236154,"pubmed, wos",Nursing,anxiety; pain; patient satisfaction; transrectal prostate biopsy; virtual reality,URI::(https://www.doi.org/10.1177/10998004241236154)
Effect of Virtual Reality-Based Interventions on Pain Dur- ing Wound Care in Burn Patients; a Systematic Review and Meta-Analysis,Not mental health,"Norouzkhani, N; Arani, RC; Mehrabi, H; Toolaroud, PB; Vajargah, PG; Mollaei, A; Hosseini, SJ; Firooz, M; Falakdami, A; Takasi, P; Feizkhah, A; Saber, H; Ghaffarzade, H; Nemalhabib, A; Ghaffari, A; Osuji, J; Mobayen, M; Karkhah, S",ARCHIVES OF ACADEMIC EMERGENCY MEDICINE,2022,"Introduction: Burn patients undergo daily painful wound care procedures, including washing, debridement, and dressing. This systematic review and meta-analysis aimed to examine the effect of virtual reality (VR)-based interventions on pain during wound care in burn patients. Methods: A comprehensive systematic search was conducted on international electronic databases such as Scopus, PubMed, and Web of Science with keywords extracted from Medical Subject Headings such as Virtual reality, Virtual reality therapy, Virtual reality expo -sure therapy, Virtual reality immersion therapy, Exergaming, Active-video gaming, Burns, Wound heal-ings, Pain, and Pain management from the earliest to May 6, 2022. The Joanna Briggs Institute (JBI) critical appraisal checklist was used to assess the quality of randomized control trials and quasi-experimental studies. Results: 1,293 patients with burns were included in 30 studies, and their mean age was 22.89 (SD=7.63) years. 70.72% of the participants were male, and 67.05% were in the intervention group. This meta-analysis showed that VR significantly decreased pain severity in the intervention group compared to the control group (standard mean difference (SMD):-0.70, 95%CI:-0.97 to-0.43, Z=5.05, P<0.001, I2:82.0%). Immersive VR intervention showed statistically significant effects in reducing pain intensity among the intervention group, compared to the control group (SMD:-0.73, 95%CI:-0.97 to-0.49, Z=5.88, P<0.001, I2:69.3%); however, this finding was not the same for non-immersive VR (SMD:-0.62, 95%CI:-1.43 to 0.19, Z=1.51, P=0.132, I2:91.2%). Conclusion: It is suggested that health policymakers and managers equip burn wards with immersive VR devices to provide the basis for this intervention when caring for patients with burn wounds.",10.22037/aaem.v10i1.1756,wos,Emergency Medicine,Virtual reality; burns; wound healing; pain; pain management; systematic review; meta-analysis,URI::(https://www.doi.org/10.22037/aaem.v10i1.1756)
Effect of Voluntary Participation on Mobile Health Care in Diabetes Management: Randomized Controlled Open-Label Trial,Not mental health,"Lee, DY; Yoo, SH; Min, KP; Park, CY",JMIR MHEALTH AND UHEALTH,2020,"Background: The role of mobile health care (mHealth) in glycemic control has been investigated, but its impact on self-management skills and its psychological aspects have not been studied. Objective: We evaluated the efficacy of mHealth-based diabetes self-management education and the effect of voluntary participation on its effects. Methods: This study was a randomized controlled open-label trial conducted for 6 months at Kangbuk Samsung Hospital. Participants in the control group (n=31) maintained their previous diabetes management strategies. Participants in the intervention group (n=41) additionally received mHealth-based diabetes self-management education through a mobile app and regular individualized feedback from health care professionals. The primary outcome was change in glycated hemoglobin (HbA(1c)) level over 6 months between the 2 groups (intervention versus control) and within each group (at 6 months versus baseline). The secondary outcomes were changes in body mass index, blood pressure, lipid profile, and questionnaire scores (the Korean version of the Summary of Diabetes Self-Care Activities Questionnaire, an Audit of Diabetes Dependent Quality of Life, the Appraisal of Diabetes Scale, and Problem Areas in Diabetes) over 6 months between groups and within each group. Results: A total of 66 participants completed this study. HbA(1c) (P=.04), total cholesterol level (P=.04), and Problem Areas in Diabetes scores (P=.02) significantly decreased; total diet (P=.03) and self-monitoring of blood glucose level scores (P=.01), based on the Summary of Diabetes Self-Care Activities Questionnaire, markedly increased within the intervention group. These significant changes were observed in self-motivated participants who were recruited voluntarily via advertisements. Conclusions: mHealth-based diabetes self-management education was effective at improving glycemic control and diabetes self-management skills and lowering diabetes-related distress in voluntary participants.",10.2196/19153,"pubmed, wos",Health Care Sciences & Services; Medical Informatics,diabetes mellitus; health services research; mobile applications; diabetes; mHealth; app; lifestyle; self-management; volunteer; participation,URI::(https://www.doi.org/10.2196/19153)
Effect of a Behavioral Therapy-Based Virtual Reality Application on Quality of Life in Chronic Low Back Pain,Not mental health,"Groenveld, TD; Smits, MLM; Knoop, J; Kallewaard, JW; Staal, JB; de Vries, M; van Goor, H",CLINICAL JOURNAL OF PAIN,2023,"Objectives:Low back pain is the leading cause of years lived with disability with a large impact on quality of life and resistance to a broad array of current treatments. This study aimed to investigate the effect of a novel self-administered behavioral therapy-based virtual reality (VR) application on the quality of life of patients with nonspecific chronic low back pain (CLBP). Methods:A pilot randomized controlled trial was conducted in adults with nonspecific CLBP with moderate to severe pain, waiting for treatment in a teaching hospital-based pain clinic. The intervention group used a self-administered behavioral therapy-based VR application for at least 10 minutes daily for 4 weeks. The control group received standard care. The primary outcome was quality of life at 4 weeks measured by the short form-12 physical and mental scores. Secondary outcomes were daily worst and least pain, pain coping strategies, activities of daily living, positive health, anxiety, and depression. Discontinuation of therapy and adverse events were analyzed as well. Results:Forty-one patients were included. One patient withdrew due to personal reasons. No significant treatment effect was found for the short form-12 physical score (mean difference: 2.6 points; 95% CI: -5.60 to 0.48) and mental score (-1.75; -6.04 to 2.53) at 4 weeks. There was a significant treatment effect for daily worst pain score (F [1, 91.425] = 33.3, P < 0.001) and least pain score (F [1, 30.069] = 11.5, P = 0.002). Three patients reported mild and temporary dizziness. Discussion:Four weeks of self-administered VR for CLBP does not improve quality of life, however, it may positively affect daily pain experience.",10.1097/AJP.0000000000001110,"pubmed, wos",Anesthesiology; Neurosciences & Neurology,virtual reality; chronic low back pain; behavioral therapy; biopsychosocial treatment; health-related quality of life,URI::(https://www.doi.org/10.1097/AJP.0000000000001110)
Effect of a Computerized Brain Exercise Program on Cognitive Performance in Older Adults,Not Multi User,"Miller, KJ; Dye, RV; Kim, J; Jennings, JL; O'Toole, E; Wong, J; Siddarth, P",AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,2013,"Objectives: Research indicates an association between stimulating mental activities and better memory performance as people age, but studies on computerized mental stimulation programs are limited. We explored whether computerized brain training exercises improved cognitive performance in older adults. Methods: In local retirement communities, a convenience sample was randomized into an intervention group (N = 36), who used a computer program 5 days a week for 20-25 minutes each day, or a wait-list control group (N = 33). All were older adults without dementia (mean age: 81.8 years; SD: 61; 67% female). Neuropsychological testing was completed at baseline (Time 1), 2 months (Time 2), and 6 months (Time 3). Three cognitive domains (Immediate Memoiy, Delayed Memoiy, Language) were compared in the two groups as a function of time using mixed models. Results: The intervention group used the computerized program (Brain Fitness, Dakim Inc., Santa Monica, CA) for an average of 43 (SD: 44) sessions by Time 2 and 81 (SD: 37.5) sessions by Time 3. Mixed models examining cognitive domains as function of time revealed significant group differences in Delayed Memoiy (F(2,72) = 47, p = 0.01) but not Immediate Memoiy and Language; no significant improvements were noted for the control group. Among all participants, anyone playing at least 40 sessions over the 6 months improved in all three domains (Immediate Memoiy, Delayed Memory, and Language). Conclusion: Participating in a computerized brain exercise program over 6 months improves cognitive abilities in older adults. These results extend literature indicating the benefit of training exercises, whether in a classroom format or via a computerized self-paced program.",10.1016/j.jagp.2013.01.077,"pubmed, wos",Geriatrics & Gerontology; Psychiatry,Cognitive training; older adults; memory,URI::(https://www.doi.org/10.1016/j.jagp.2013.01.077)
Effect of a Digital Intervention on Depressive Symptoms in Patients With Comorbid Hypertension or Diabetes in Brazil and Peru: Two Randomized Clinical Trials,Good,"Araya, R; Menezes, PR; Claro, HG; Brandt, LR; Daley, KL; Quayle, J; Diez-Canseco, F; Peters, TJ; Cruz, DV; Toyama, M; Aschar, S; Hidalgo-Padilla, L; Martins, H; Cavero, V; Rocha, T; Scotton, G; Lopes, IFD; Begale, M; Mohr, DC; Miranda, JJ",JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,2021,"Key PointsQuestionWhat is the effect of a behavioral activation digital intervention delivered over a 6-week period on depressive symptoms among patients with comorbid hypertension or diabetes in Brazil and Peru? FindingsIn 2 randomized clinical trials conducted separately in SAo Paulo, Brazil (880 participants), and Lima, Peru (432 participants), a significantly greater proportion of participants who received the digital intervention, compared with enhanced usual care, experienced at least a 50% reduction in depressive symptoms at 3 months (40.7% vs 28.6% in Brazil; [odds ratio, 1.6]; 52.7% vs 34.1% in Peru [odds ratio, 2.1]), although the differences were no longer statistically significant at 6 months. MeaningA digital intervention for patients with depressive symptoms and comorbid hypertension or diabetes significantly improved depressive symptoms at 3 months compared with enhanced usual care in Peru and Brazil, but the effects were not sustained at 6 months in either of the 2 trials. ImportanceDepression is a leading contributor to disease burden globally. Digital mental health interventions can address the treatment gap in low- and middle-income countries, but the effectiveness in these countries is unknown. ObjectiveTo investigate the effectiveness of a digital intervention in reducing depressive symptoms among people with diabetes and/or hypertension. Design, Setting, and ParticipantsParticipants with clinically significant depressive symptoms (Patient Health Questionnaire-9 [PHQ-9] score >= 10) who were being treated for hypertension and/or diabetes were enrolled in a cluster randomized clinical trial (RCT) at 20 sites in SAo Paulo, Brazil (N=880; from September 2016 to September 2017; final follow-up, April 2018), and in an individual-level RCT at 7 sites in Lima, Peru (N=432; from January 2017 to September 2017; final follow-up, March 2018). InterventionsAn 18-session, low-intensity, digital intervention was delivered over 6 weeks via a provided smartphone, based on behavioral activation principles, and supported by nurse assistants (n=440 participants in 10 clusters in SAo Paulo; n=217 participants in Lima) vs enhanced usual care (n=440 participants in 10 clusters in SAo Paulo; n=215 participants in Lima). Main Outcomes and MeasuresThe primary outcome was a reduction of at least 50% from baseline in PHQ-9 scores (range, 0-27; higher score indicates more severe depression) at 3 months. Secondary outcomes included a reduction of at least 50% from baseline PHQ-9 scores at 6 months. ResultsAmong 880 patients cluster randomized in Brazil (mean age, 56.0 years; 761 [86.5%] women) and 432 patients individually randomized in Peru (mean age, 59.7 years; 352 [81.5%] women), 807 (91.7%) in Brazil and 426 (98.6%) in Peru completed at least 1 follow-up assessment. The proportion of participants in SAo Paulo with a reduction in PHQ-9 score of at least 50% at 3-month follow-up was 40.7% (159/391 participants) in the digital intervention group vs 28.6% (114/399 participants) in the enhanced usual care group (difference, 12.1 percentage points [95% CI, 5.5 to 18.7]; adjusted odds ratio [OR], 1.6 [95% CI, 1.2 to 2.2]; P=.001). In Lima, the proportion of participants with a reduction in PHQ-9 score of at least 50% at 3-month follow-up was 52.7% (108/205 participants) in the digital intervention group vs 34.1% (70/205 participants) in the enhanced usual care group (difference, 18.6 percentage points [95% CI, 9.1 to 28.0]; adjusted OR, 2.1 [95% CI, 1.4 to 3.2]; P<.001). At 6-month follow-up, differences across groups were no longer statistically significant. Conclusions and RelevanceIn 2 RCTs of patients with hypertension or diabetes and depressive symptoms in Brazil and Peru, a digital intervention delivered over a 6-week period significantly improved depressive symptoms at 3 months when compared with enhanced usual care. However, the magnitude of the effect was small in the trial from Brazil and the effects were not sustained at 6 months. Trial RegistrationClinicalTrials.gov: NCT02846662 (SAo Paulo) and NCT03026426 (Lima) These randomized clinical trials compare the effects of smartphone app-delivered mini-sessions to treat depression vs enhanced usual care on depressive symptoms among patients with hypertension or diabetes in Brazil and Peru.",10.1001/jama.2021.4348,"pubmed, wos",General & Internal Medicine,NA,URI::(https://www.doi.org/10.1001/jama.2021.4348)
