Title,Authors,Journal,Year,Abstract,DOI,Research Areas,Author Keywords,FinalGoodSum,FinalAnswered,AgreementFinalGood,Multi user technology,Hardware,How many people,Professional/Peer
Traditional versus virtual partial hospital programme for eating disorders: Feasibility and preliminary comparison of effects,"Penwell, TE; Smith, M; Ortiz, SN; Brooks, G; Thompson-Brenner, H",EUROPEAN EATING DISORDERS REVIEW,2024,"Objective: Minimal research has examined teletherapy for group or intensive eating disorder (ED) treatment, particularly partial hospital programme (PHP). This study compared treatment outcomes for individuals treated before and after a pandemic-driven implementation of virtual PHP.Method: Patients received care at ED treatment centres using the Renfrew Unified Treatment for Eating Disorders and Comorbidity. Patients treated with virtual PHP were compared to patients treated with traditional PHP. Measures of ED symptomology and behaviours, depressive symptoms, anxiety severity, anxiety sensitivity, experiential avoidance, mindfulness, and body mass index (BMI; reported for anorexia nervosa [AN] patients only) were collected at intake and discharge. Multiple regression analyses were conducted to examine the effect of treatment group on outcomes, controlling for intake score, comorbidity, discharge status, AN diagnosis, and step-down status.Results: Differences in treatment type were only found for binge eating frequency, with those in virtual PHP reporting significantly lower binge eating episodes at discharge than those in traditional PHP. Body mass index showed significantly less improvement in virtual PHP than in traditional PHP.Conclusions: Preliminary results suggest virtual PHP is feasible and effective, potentially increasing access to evidence-based, intensive ED treatment. However, additional research is needed to establish efficacious support for weight gain among individuals with AN in virtual programs.",10.1002/erv.3031,Psychology; Psychiatry,COVID-19; eating disorders; partial hospital; teletherapy; virtual therapy,3,3,1,Video conference,Not specified,"2,3+",Professional
"Mixed Reality, Full-Body Interactive Experience to Encourage Social Initiation for Autism: Comparison with a Control Nondigital Intervention","Crowell, C; Sayis, B; Benitez, JP; Pares, N",CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING,2020,"Despite a proliferation in digital intervention tools for autism, many studies lack comparison with standard intervention tools, and are not evaluated with objective and standardized measures. In this article, we present research on the potential of mixed reality (MR) experiences using full-body interaction to foster social initiation behaviors in children with autism while playing with a child without autism, in a face-to-face colocated configuration. The primary goal was to test whether practicing socialization in a virtual environment catered toward individuals with autism spectrum disorders (ASDs) could be a way to reduce anxiety while simultaneously forming collaborative behavioral patterns. Building on the results of a preliminary study, this second phase compares our system with a typical LEGO social intervention strategy using construction tools and toys as an aid to the psychologist, therapist, or caregiver. Results are based on four data sources: (a) video coding of the externally observed behaviors during the video-recorded play sessions, (b) log files of our system showing the events triggered and the real-time decisions taken, (c) physiologic data (heart rate variability and electrodermal activity) gathered through child-appropriate wearable, (d) and a standardized anxiety questionnaire. The results obtained show that the MR setting generated as many social initiations as the control condition, and no significant difference existed in the reported anxiety levels of the children after playing in the two conditions.",10.1089/cyber.2019.0115,Psychology,autism spectrum disorders; virtual reality; naturalistic interventions; full-body interaction; interaction design,3,3,1,Virtual World,Virtual reality,2,"Peer "
Patients' experiences with virtual group gut-directed hypnotherapy: A qualitative study,"Gerson, J; Tawde, P; Ghiasian, G; Salwen-Deremer, JK",FRONTIERS IN MEDICINE,2023,"BackgroundHypnotherapy is a useful treatment for a variety of gastrointestinal conditions. While there is strong evidence for delivering other treatments virtually and in groups, there is no research thus far on delivering hypnotherapy in this format. Given the growth of both psychogastroenterology and telehealth, these methods should be explored as they have great potential for increasing access and cost-effectiveness of intervention. AimsThis qualitative study was developed to help understand patients experiences in virtual, group-based, gut-directed hypnotherapy (GDH) in two different institutions. MethodsAuthors developed a qualitative interview with the assistance of two patient partners and then recruited patients from New York University and Dartmouth Health to participate. Interviews were completed one-on-one with patients who started and then completed GDH (>= 5 visits) and who did not complete GDH (<= 3 visits). Data were coded and then analyzed using thematic analysis. ResultsTwenty-one patients from NYU and Dartmouth participated in qualitative interviews. Broadly, patients reported coming to GDH because they believed in the importance of the mind-body connection or were desperate for treatment. Regardless of why patients came to GDH, they generally reported positive outcomes for GI symptoms and for other physical and mental health conditions. Most patients appreciated the group and virtual formats, though some concerns about inflexible schedules and lack of anonymity were voiced. Despite these concerns, there was broad support for virtual, group-based GDH and general excitement for behavioral health programming. ConclusionVirtual, group-based GDH is an acceptable treatment for patients from rural and urban settings. Given the possible improvements in access and cost-effectiveness that this treatment modality can provide, GI practices may want to consider it in lieu of or in addition to the traditional one-on-one treatment format. Barriers and facilitators and recommendations for practice are discussed.",10.3389/fmed.2023.1066452,General & Internal Medicine,brain-gut behavior therapy; psychogastroenterology; hypnotherapy; irritable bowel syndrome; telemedicine; group therapy,3,4,0.75,Video conference,Not specified,3+,Professional
Acceptability and Utility of a Digital Group Intervention to Prevent Perinatal Depression in Youths via Interactive Maternal Group for Information and Emotional Support (IMAGINE): Pilot Cohort Study,"Ronen K, Gewali A, Dachelet K, White E, Jean-Baptiste M, Evans YN, Unger JA, Tandon SD, Bhat A.",JMIR Form Res,2024,"Abstract
Background: Perinatal depression (depression during pregnancy or the first year postpartum) affects 10%-25% of perinatal individuals, with a higher risk among youths aged <25 years. The Mothers and Babies Course (MB) is an evidence-based intervention for the prevention of perinatal depression, grounded in cognitive behavioral therapy, attachment theory, and psychoeducation.

Objective: We developed a digital adaptation of MB (Interactive Maternal Group for Information and Emotional Support [IMAGINE]) and evaluated it in a pre-post mixed methods pilot among young perinatal people in the United States.

Methods: IMAGINE was a structured digital group of up to 7 participants, with scheduled MB content and open discussion for 12 weeks, facilitated by a social worker. Scheduled content included asynchronous SMS text messages, graphics, prerecorded videos, mood polls, and optional weekly synchronous video calls. Eligible participants were pregnant or ≤80 days postpartum, aged 16 to 24 years, had access to a smartphone, spoke English, and had a Patient Health Questionnaire score <10. Participants were recruited throughout the United States from August 2020 to January 2021 through paid social media ads, in-person outreach at clinics, and respondent-driven sampling. Participants completed quantitative questionnaires at enrollment and 3 months, and qualitative interviews at 3 months. We determined uptake, acceptability (by Acceptability of Intervention Measure score), and utility (by use of cognitive behavioral therapy skills). We compared depression symptoms (by Patient Health Questionnaire score), social support (by abbreviated Social Support Behavior score), and perceived stress (by Perceived Stress Score) between enrollment and follow-up by paired 2-tailed t test.

Results: Among 68 individuals who contacted this study, 22 were screened, 13 were eligible, and 10 enrolled, for an uptake of 76.9%. Furthermore, 4 (40%) participants were pregnant at enrollment. Participants had a median age of 17.9 (IQR 17.4-21.7) years, 6 (67%) identified as Black, 5 (56%) Latinx, and 6 (67%) using Medicaid health insurance. Further, 9 (90%) participants completed follow-up. Among these, the mean acceptability score was 4.3 out of 5 (SD 0.6) and all participants said they would recommend IMAGINE to a friend. Participants reported using a median of 7 of 11 skills (IQR 5-7 skills) at least half the days. We found no significant changes in depression symptoms, perceived stress, or social support. Qualitatively, participants reported one-to-one support from the facilitator, connection with other parents, and regular mood reflection were especially helpful aspects of the intervention. Additionally, participants reported that the intervention normalized their mental health challenges, improved their ability to manage their mood, and increased their openness to mental health care.

Conclusions: This pilot study provides promising evidence of the acceptability and utility of IMAGINE among perinatal youths. Our study's small sample size did not detect changes in clinical outcomes; our findings suggest IMAGINE warrants larger-scale evaluation.

Keywords: acceptability; cognitive behavioral therapy; depression; digital health; mHealth; manage; mixed methods; mobile phone; mood; perinatal depression; pilot study; postpartum; pregnancy; prevention; psychoeducation; utility; youth.",10.2196/51066,NA,NA,2,4,0.5,"Text,Video conference",Not specified,3+,Professional
Adapting Clinical Skills to Telehealth: Applications of Affirmative Cognitive-Behavioral Therapy with LGBTQ plus Youth,"Craig, SL; Iacono, G; Pascoe, R; Austin, A",CLINICAL SOCIAL WORK JOURNAL,2021,"Online social work services (e.g., telemental health; telebehavioral health; virtual care; telehealth) present significant opportunities for clinical social workers to provide effective care to marginalized populations, such as LGBTQ+ youth. The COVID-19 pandemic has led to an increased focus on telehealth, and while there are excellent resources to guide ethics, standards, and legal decisions (NASW, n.d.), there is less guidance in the literature to specifically inform the adaptation of offline clinical skills to telehealth, particularly for LGBTQ+ youth. To address this gap, we present examples from our experience offering AFFIRM, an affirmative cognitive behavioral therapy (CBT) group intervention now being delivered through telehealth. Specifically, this paper will: (a) describe the key considerations for the delivery of CBT via telehealth to youth; (b) detail specific clinical skills and strategies to enable successful online implementation; (c) describe the adaptation approach through a case study of cognitive restructuring with a transgender youth; (d) and offer specific guidance to support clinicians to adapt their clinical skills to the virtual environment.",10.1007/s10615-021-00796-x,Social Work,LGBTQ plus youth; Telehealth; Affirmative practice; Cognitive behavioral therapy; Mental health,3,3,1,"Text,Video conference",Not specified,3+,Professional
Acceptability of A Virtual Mind-Body Group Intervention for Teen Siblings of Children with Autism Spectrum Disorder,"Fell, L; Goshe, B; Traeger, L; Perez, G; Iannuzzi, D; Park, E; Kuhlthau, K; Luberto, C",JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,2022,"Teenage siblings of children with autism spectrum disorder (ASD) are at risk of worse mental health outcomes than their peers, yet there have been few interventions focused on improving their psychosocial wellbeing. This study explored the acceptability of an 8-session virtual group mind-body resiliency intervention for teen siblings of children with ASD. We used mixed methods to assess quantitative and qualitative survey results. Participants reported that the intervention had the right amount of sessions (88%), structure (74%), and duration (89%). Most participants felt comfortable during sessions (74%), found it helpful to learn mind-body exercises (74%), and that the intervention helped in coping with stress (71%). Though participants were satisfied with the opportunity to meet peers, they desired more social connection.",10.1007/s10803-022-05500-7,Psychology,Sibling; Teenager; ASD; Intervention; Acceptability; Telehealth,3,4,0.75,Video conference,Not specified,3+,Professional
"Telehealth treatment of patients with major depressive disorder during the COVID-19 pandemic: Comparative safety, patient satisfaction, and effectiveness to prepandemic in-person treatment","Zimmerman, M; D'Avanzato, C; King, BT",JOURNAL OF AFFECTIVE DISORDERS,2023,"Background: The COVID-19 pandemic impelled a transition from in-person to telehealth psychiatric treatment. There are no studies of partial hospital telehealth treatment for major depressive disorder (MDD). In the present report from the Rhode Island Methods to Improve Diagnostic Assessment and Services (MIDAS) project, we compared the effectiveness of partial hospital care of patients with MDD treated virtually versus in-person.Methods: Outcome was compared in 294 patients who were treated virtually from May 2020 to December 2021 to 542 patients who were treated in the in-person partial program in the 2 years prior to the pandemic. Patients completed self-administered measures of patient satisfaction, symptoms, coping ability, functioning, and general well-being.Results: In both the in-person and telehealth groups, patients with MDD were highly satisfied with treatment and reported a significant reduction in symptoms from admission to discharge. Both groups also reported a significant improvement in positive mental health, general well-being, coping ability, and functioning. A large effect size of treatment was found in both treatment groups. Contrary to our hypothesis, the small differences in outcome favored the telehealth-treated patients. The length of stay and the likelihood of staying in treatment until completion were significantly greater in the virtually treated patients. Limitations: The treatment groups were ascertained sequentially, and telehealth treatment was initiated after the COVID-19 pandemic began. Outcome assessment was limited to a self-administered questionnaire.Conclusions: In an intensive acute care setting, delivering treatment to patients with MDD using a virtual, tele-health platform was as effective as treating patients in-person.",10.1016/j.jad.2022.12.015,Neurosciences & Neurology; Psychiatry,Depression; Treatment; Telehealth; Virtual; Partial hospital,3,3,1,Video conference,Not specified,3+,Professional
An Internet-Based Virtual Reality Intervention for Enhancing Self-Esteem in Women With Disabilities: Results of a Feasibility Study,"Nosek, MA; Robinson-Whelen, S; Hughes, RB; Nosek, TM",REHABILITATION PSYCHOLOGY,2016,"Purpose: To examine the feasibility of an online self-esteem enhancement group program for women with disabilities. Method: A sample of 19 racially and ethnically diverse, community-living women with physical disabilities, 22 to 61 years old, participated in a 7-session interactive group intervention (extending Hughes et al., 2004) in the 3-D, immersive, virtual environment of SecondLife.com, using avatars with voice and text communication. Baseline and postintervention questionnaires were administered online. Criteria for determining feasibility were (a) enrollment, (b) engagement, (c) acceptability, and (d) improvement on measures of self-esteem, depression, self-efficacy, and social support. Results: We attained our enrollment goal and engagement exceeded expectations. Acceptability was positive; participants gave helpful and enjoyable ratings of 3.21 and 3.27, respectively, (mean on a 1 to 4 Likert scale, where 4 = high) to 5 intervention components-session materials, group sharing and discussion, relaxation exercises, action planning, and group excursions. Significant increases from baseline to postintervention were found on the Rosenberg Self-Esteem Scale (p = .02; Cohen's d = .60) and the Center for Epidemiologic Studies Depression Scale = 10 (p = .005; Cohen's d = .74), with a trend toward significance on the Generalized Self-Efficacy Scale (p = .08; Cohen's d = .42). The intervention did not significantly affect the measure of social support. Implications: An intervention to enhance self-esteem may have a corollary benefit on depressive symptomatology. Offering psycho-educational, small group interventions using online virtual worlds shows promise for circumventing disability-related and environmental barriers to accessing mental health services experienced by women with mobility limitations, and should undergo further development and testing.",10.1037/rep0000107,Psychology; Rehabilitation,women; disability; self-esteem; intervention; virtual reality,3,3,1,Virtual World,Not specified,3+,Professional
Learning from Adolescents and Caregivers to Enhance Acceptability and Engagement Within Virtual Dialectical Behavior Therapy for Adolescents Skills Groups: A Qualitative Study,"Conroy, K; Kehrer, SM; Georgiadis, C; Hare, M; Ringle, VM; Shaw, AM",CHILD PSYCHIATRY & HUMAN DEVELOPMENT,2024,"Despite the significant increase in adolescent mental health challenges in recent years, structural barriers continue to limit access to and engagement in mental health services. As such, opportunities to learn directly from adolescents and their families on how to best structure and deliver services are paramount. The current study assumes a multi-informant approach and reports on adolescents' and caregivers' (N = 33) experiences in an adapted telehealth/hybrid Dialectical Behavior Therapy for Adolescents (DBT-A) program. Focus groups were conducted across two cohorts of families who participated in DBT-A skills groups, to collect family-centered data on the acceptability of program modifications, engagement in the adapted telehealth/hybrid DBT-A, and recommendations for improvement. Participants were predominately Latine White and were from a broad range of socioeconomic backgrounds. Additionally, 45.5% of the adolescents identified as LGBTQ + . Focus group findings emphasized how the telehealth platform was both convenient and disengaging, and how in-person sessions offered improved group connection and content engagement. Participants underscored the importance of balancing multi-family group sessions with adolescent- and caregiver-only group sessions in the program, and adolescents emphasized a need for the DBT-A program to better center adolescents' unique experiences and voices throughout sessions. Both adolescents and caregivers suggested modifications to synthesize the content and improve generalizability of the DBT-A skills to their real lives. Overall, these findings add to a new and evolving branch of DBT-A qualitative inquiry, as well as the growing body of work that recommends incorporating the voices of people with lived experiences into the development and modification of psychological services.",10.1007/s10578-023-01641-7,Psychology; Pediatrics; Psychiatry,Dialectical behavior therapy for adolescents; Qualitative methods; Treatment acceptability; Telehealth and hybrid group therapy; Patient-centered program feedback,3,4,0.75,Video conference,Not specified,3+,Professional
Evaluating the Efficacy of Internet-Delivered Cognitive Behavioral Therapy Blended With Synchronous Chat Sessions to Treat Adolescent Depression: Randomized Controlled Trial,"Topooco, N; Byléhn, S; Nysäter, ED; Holmlund, J; Lindegaard, J; Johansson, S; Åberg, L; Nordgren, LB; Zetterqvist, M; Andersson, G",JOURNAL OF MEDICAL INTERNET RESEARCH,2019,"Background: Depression is a common and serious problem among adolescents, but few seek or have access to therapy. Internet-delivered cognitive behavioral therapies (ICBTs), developed to increase treatment access, show promise in reducing depression. The inclusion of coach support in treatment is desired and may be needed. Objective: The aim of this study was to determine the efficacy of an ICBT protocol blended with weekly real-time therapist sessions via chat; blended treatment, for adolescent depression, including major depressive episode (MDE). The protocol has previously been evaluated in a controlled study. Methods: In a two-arm randomized controlled trial, adolescents 15 to 19 years of age were recruited through a community setting at the national level in Sweden (n=70) and allocated to either 8 weeks of treatment or to minimal attention control. Depression was assessed at baseline, at posttreatment, and at 12 months following treatment (in the intervention group). The primary outcome was self-reported depression level as measured with the Beck Depression Inventory II at posttreatment. The intervention was offered without the need for parental consent. Results: Over two weeks, 162 adolescents registered and completed the baseline screening. Eligible participants (n=70) were on average 17.5 years of age (SD 1.15), female (96%, 67/70), suffered from MDE (76%, 53/70), had no previous treatment experience (64%, 45/70), and reported guardian(s) to be aware about their depression state (71%, 50/70). The average intervention completion was 74% (11.8 of 16 modules and sessions). Following the treatment, ICBT participants demonstrated a significant decrease in depression symptoms compared with controls (P<.001), corresponding to a large between-group effect (intention-to-treat analysis: d=0.86, 95% CI 0.37-1.35; of completer analysis: d=0.99, 95% CI 0.48-1.51). A significant between-group effect was observed in the secondary depression outcome (P=.003); clinically significant improvement was found in 46% (16/35) of ICBT participants compared with 11% (4/35) in the control group (P=.001). Conclusions: The results are in line with our previous study, further demonstrating that adolescents with depression can successfully be engaged in and experience significant improvement following ICBT blended with therapist chat sessions. Findings on participants' age and baseline depression severity are of interest in relation to used study methods.",10.2196/13393,Health Care Sciences & Services; Medical Informatics,adolescent; depression; cognitive behavioral therapy; randomized controlled trial; internet; digital health; technology; mental health; text messaging; instant messaging,3,4,0.75,Text,Monitor,2,Professional
Coping Strategies and Social Support in a Mobile Phone Chat App Designed to Support Smoking Cessation: Qualitative Analysis,"Granado-Font, E; Ferré-Grau, C; Rey-Reñones, C; Pons-Vigués, M; Ribera, EP; Berenguera, A; Barrera-Uriarte, ML; Basora, J; Valverde-Trillo, A; Duch, J; Flores-Mateo, G",JMIR MHEALTH AND UHEALTH,2018,"Background: Smoking is one of the most significant factors contributing to low life expectancy, health inequalities, and illness at the worldwide scale. Smoking cessation attempts benefit from social support. Mobile phones have changed the way we communicate through the use of freely available message-oriented apps. Mobile app-based interventions for smoking cessation programs can provide interactive, supportive, and individually tailored interventions. Objective: This study aimed to identify emotions, coping strategies, beliefs, values, and cognitive evaluations of smokers who are in the process of quitting, and to analyze online social support provided through the analysis of messages posted to a chat function integrated into a mobile app. Methods: In this descriptive qualitative study, informants were smokers who participated in the chat of Tobbstop. The technique to generate information was documentary through messages collected from September 2014 through June 2016, specifically designed to support a smoking cessation intervention. A thematic content analysis of the messages applied 2 conceptual models: the Lazarus and Folkman model to assess participant's experiences and perceptions and the Cutrona model to evaluate online social support. Results: During the study period, 11,788 text messages were posted to the chat by 101 users. The most frequent messages offered information and emotional support, and all the basic emotions were reported in the chat. The 3 most frequent coping strategies identified were physical activity, different types of treatment such as nicotine replacement, and humor. Beliefs about quitting smoking included the inevitability of weight gain and the notion that not using any type of medications is better for smoking cessation. Health and family were the values more frequently described, followed by freedom. A smoke-free environment was perceived as important to successful smoking cessation. The social support group that was developed with the app offered mainly emotional and informational support. Conclusions: Our analysis suggests that a chat integrated into a mobile app focused on supporting smoking cessation provides a useful tool for smokers who are in the process of quitting, by offering social support and a space to share concerns, information, or strategies.",10.2196/11071,Health Care Sciences & Services; Medical Informatics,primary health care; qualitative research; mobile apps; smoking cessation; social support; psychological adaptation,3,3,1,Text,Mobile,3+,"Peer ,Professional"
The Role of Communication Affordances in Post-Traumatic Stress Disorder Facebook and WhatsApp Support Groups,"Yeshua-Katz, D",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2021,"(1) Background: Digital health research has indicated that people with stigmatized health problems are drawn to online support groups (OSGs) because these groups help them to manage such conditions. However, little is known about how media affordances-interactions between the technology and the user-reconfigure the ways in which stigmatized individuals use OSGs and interact with others like themselves. (2) Method: The current study applied an affordance framework to evaluate how Facebook and WhatsApp support groups can help military veterans and their partners cope with post-traumatic stress disorder (PTSD) and was based on interviews with 34 PTSD-OSG members in Israel. (3) Findings: This research identified five affordances that members appraised as enhancing their coping efforts in the digital world: visibility, availability, multimediality, surveillance, and synchronicity. (4) Conclusions: This study reveals the connection between a specific stigmatized mental health disorder (i.e., PTSD) and perceptions of communication technologies (i.e., affordances), and specifies the uses of technologies for coping with this mental health disorder. Moreover, this study may inform digital intervention designers about which communication affordances can potentially lead to better health outcomes.",10.3390/ijerph18094576,"Environmental Sciences & Ecology; Public, Environmental & Occupational Health",stigma; social media; affordances; social support; post-traumatic stress disorder,3,4,0.75,Text,"Mobile,Monitor",3+,"Peer "
The effect of the Ebe Evimde application on the self-efficacy and anxiety levels of mothers: Randomized controlled trial,"Bozkurt, MA; Cesur, B",DIGITAL HEALTH,2023,"ObjectiveFamily health can be improved by making home visits with mobile applications. This study was carried out to evaluate the effect of a mobile application and web-based software called Ebe Evimde (My Home Midwife), which was designed by the researchers for use in the postpartum period, on mothers' self-efficacy and anxiety levels. MethodsHome visits to 60 mothers in the intervention group, who are over 18 years of age, who have given birth at term, who have no complications in mother and baby, and who are in the second to fifth postpartum days, were made with the online home visits mobile support application Midwifery Home software and their self-efficacy and anxiety levels were evaluated. Mothers were divided into two groups as intervention (60) and control group (60) using a random number table. ResultsWhile there was a significant difference between the pretest and posttest self-efficacy levels of the intervention group, there was no difference between the pretest and posttest self-efficacy levels of the control group. When the groups obtained from the Postpartum Specific Anxiety Scale were examined, it was seen that there was a negative and very strong significant relationship between the pretest and posttest scores of the mothers in the intervention group, while when the relationship between the pretest and posttest scores of the mothers in the control group was examined; no significant relationship was observed. ConclusionThe practice of Ebe Evimde (My Home Midwife) had a positive effect on mothers' self-efficacy and postpartum anxiety levels.",10.1177/20552076231169840,"Health Care Sciences & Services; Public, Environmental & Occupational Health; Medical Informatics",Midwifery; mobile applications; postpartum period; newborn; home visits; digital health; self-efficacy,2,4,0.5,Video conference,"Mobile,Monitor",2,Professional
Synchronous Telehealth Yoga and Cognitive Processing Group Therapies for Women Veterans with Posttraumatic Stress Disorder: A Multisite Randomized Controlled Trial Adapted for COVID-19,"Zaccari, B; Loftis, JM; Haywood, T; Hubbard, K; Clark, J; Kelly, UA",TELEMEDICINE AND E-HEALTH,2022,"Background: Providing care over telehealth grew slowly until the COVID-19 pandemic. Since the onset of the COVID-19 pandemic, providing mental health care was readily adapted to virtual means; however, clinical trial research is nascent in adapting methods and procedures to the virtual world.Methods: We present protocol modifications to pivot a multisite randomized controlled trial study, conducted at Southeastern and Pacific Northwestern Veterans Affairs Health Care Systems, from being conducted in-person to virtually, following the onset of the COVID-19 pandemic. We measured outcomes of posttraumatic stress disorder (PTSD) symptoms and psychophysiological markers of stress among female Veterans with PTSD secondary to military sexual trauma. We collected qualitative data about provider and participant experiences with telehealth.Results: Across sites, 200 participants were consented (48 virtually), 132 were randomized (28 to virtual groups), and 117 completed data collection and treatment (69 completed all or some data collection or treatment virtually).Conclusions: The pivots made for this study were in response to the COVID-19 pandemic and offer innovative procedures leveraging technology and contributing to the broader landscape of conducting research virtually. Clinical Trials Number: NCT02640690.",10.1089/tmj.2021.0612,Health Care Sciences & Services,synchronous telehealth; group therapy; protocol; COVID adaptation; Veteran; telemedicine,3,3,1,"Video conference,Text","Mobile,Monitor",3+,Professional
Effectiveness of mHealth consultation services for preventing postpartum depressive symptoms: a randomized clinical trial,"Arakawa, Y; Haseda, M; Inoue, K; Nishioka, D; Kino, S; Nishi, D; Hashimoto, H; Kondo, N",BMC MEDICINE,2023,"BackgroundAlthough many conventional healthcare services to prevent postpartum depression are provided face-to-face, physical and psychosocial barriers remain. These barriers may be overcome by using mobile health services (mHealth). To examine the effectiveness of mHealth professional consultation services in preventing postpartum depressive symptoms in real-world settings, we conducted this randomized controlled trial in Japan, where universal free face-to-face perinatal care is available.MethodsThis study included 734 pregnant women living in Yokohama city who could communicate in Japanese, recruited at public offices and childcare support facilities. The participants were randomized to the mHealth group (intervention, n = 365), where they could use a free app-based mHealth consultation service with gynecologists/obstetricians, pediatricians, and midwives whenever and as many times as they wanted between 6 p.m. and 10 p.m. on weekdays throughout their pregnancy and postpartum periods (funded by the City of Yokohama government) or the usual care group (control, n = 369). The primary outcome was the risk of elevated postpartum depressive symptoms, defined as Edinburgh Postnatal Depression Scale score & GE; 9. Secondary outcomes were self-efficacy, loneliness, perceived barriers to healthcare access, number of clinic visits, and ambulance usage. All outcomes were collected three months post-delivery. We also conducted subgroup analyses assessing the differences in the treatment effect by sociodemographic status.ResultsMost women completed all questionnaires (n = 639 of 734, response rate: 87%). The mean baseline age was 32.9 & PLUSMN; 4.2 years, and 62% were primipara. Three months post-delivery, women in the mHealth group had a lower risk of elevated postpartum depressive symptoms (47/310 [15.2%]) compared to the usual care group (75/329 [22.8%], risk ratio: 0.67 [95% confidence interval: 0.48-0.93]). Compared with the usual care group, women in the mHealth group had higher self-efficacy, less loneliness, and fewer perceived barriers to healthcare access. No differences were observed in the frequency of clinic visits or ambulance usage. Furthermore, in the subgroup analyses, we did not find differences in the treatment effect by sociodemographic status.ConclusionsLocal government-funded mHealth consultation services have a preventive effect on postpartum depressive symptoms, removing physical and psychological barriers to healthcare access in real-world settings.",10.1186/s12916-023-02918-3,General & Internal Medicine,Postpartum depression; mHealth; Prevention; Randomized controlled trial; Health consultation services; eHealth; Mental health,3,3,1,"Video conference,Voice conferences,Text",Mobile,2,Professional
Mood Lifters for Graduate Students and Young Adults: A Mixed-Methods Investigation into Mechanisms of Change in Online Group Therapy,"Pokowitz EL, Prakash N, Planaj D, Oprandi S, Deldin PJ.",Behav Sci (Basel),2024,"Mood Lifters (ML) is a dimensional, group-based, peer-led mental health program that has shown efficacy in mitigating psychopathology and promoting wellness within a variety of populations. There is not yet evidence for mechanism(s) driving these changes. Qualitative data exploring the lived experiences of participants may be a unique way to develop hypotheses about the potential mechanisms driving change. The current study used qualitative and quantitative data from the ML for Graduate Students (ML-GS) and Young Adults (ML-YA) studies to generate hypotheses regarding potential mechanisms of changes experienced in ML. Seventy-nine graduate students and fifty-nine non-student young adults provided quantitative and qualitative feedback after participating in a 12-week virtual ML program. Inductive qualitative analysis was conducted within a reflexive thematic framework. Descriptive statistics of quantitative measures were also calculated. Three themes suggest potential directions for future mechanism research on virtual ML programs. Most participants emphasized the social connections built in groups as the most potent and powerful aspects of ML, while others focused on the design or content of the program. Quantitative data presented contextualize the lived experiences of participants. Future ML research should explore the three themes identified within this study through continued qualitative and quantitative data collection and analysis. NCT05078450.",10.3390/bs14030252,NA,NA,3,4,0.75,Video conference,"Mobile,Monitor",3+,"Peer "
